track_name,artist_name,released_on,streams,bb_hot_100_peak,sp_top_200_peak,genres,artist_popularity,artist_followers,month_released
I Get The Bag (feat. Migos),Gucci Mane,2017-10-13,152308053,11,7,atl hip hop dirty south rap hip hop pop pop rap rap southern hip hop trap music,87,2681378,10
I Get The Bag (feat. Migos),Gucci Mane,2017-10-13,152308053,39,7,atl hip hop dirty south rap hip hop pop pop rap rap southern hip hop trap music,87,2681378,10
I Got You,Alicia Keys,2003-12-02,28305477,39,63,hip pop neo soul pop r&b urban contemporary,80,6146568,12
I Got You,Alicia Keys,2003-12-02,28305477,43,63,hip pop neo soul pop r&b urban contemporary,80,6146568,12
I Guess I Just Feel Like,John Mayer,2019-02-22,2469461,39,93,neo mellow pop pop rock singer-songwriter,87,3692730,2
I Guess I Just Feel Like,John Mayer,2019-02-22,2469461,94,93,neo mellow pop pop rock singer-songwriter,87,3692730,2
I Know You (feat. Yung Pinch),Lil Skies,2018-05-31,14214866,39,99,trap music,86,2567951,5
I Know You (feat. Yung Pinch),Lil Skies,2018-05-31,14214866,79,99,trap music,86,2567951,5
I Like Girls (feat. Lil Skies),PnB Rock,2019-05-03,5390631,39,89,hip hop pop pop rap rap southern hip hop trap music,83,1884321,5
I Like It,Cardi B,2018-04-06,291471989,1,3,pop rap,92,7971807,4
I Like It,Cardi B,2018-04-06,291471989,39,3,pop rap,92,7971807,4
I Like Me Better,Lauv,2017-05-19,204071983,27,30,dance pop electropop pop post-teen pop,87,1206783,5
I Like Me Better,Lauv,2017-05-19,204071983,39,30,dance pop electropop pop post-teen pop,87,1206783,5
I Love,Billie Eilish,2019-03-29,10179966,39,112,electropop pop,100,7490981,3
I Love It (& Lil Pump),Kanye West,2018-09-07,109714099,6,1,chicago rap pop rap rap,91,9674774,9
I Love It (& Lil Pump),Kanye West,2018-09-07,109714099,39,1,chicago rap pop rap rap,91,9674774,9
I Love You Dwayne,Lil Wayne,2018-09-28,4296709,39,44,hip hop new orleans rap pop pop rap rap trap music,91,7813746,9
I Love You Dwayne,Lil Wayne,2018-09-28,4296709,53,44,hip hop new orleans rap pop pop rap rap trap music,91,7813746,9
